open_time,open,high,low,close,volume,close_time,qav,trades,tbbav,tbqav,ignore
1662505200000,1578.18824804,1579.74,1556.04456926,1558.18,0,1662508799999,0.0,3600,0,0.0,0
1662508800000,1558.23,1566.81,1521.29877185,1536.42,0,1662512399999,0.0,3600,0,0.0,0
1662512400000,1536.76,1536.84,1521.01294926,1526.35447739,0,1662515999999,0.0,3600,0,0.0,0
1662516000000,1526.39063171,1528.51,1490.84369492,1497.71407354,0,1662519599999,0.0,3600,0,0.0,0
1662519600000,1497.26,1512.09957387,1496.56611656,1509.2,0,1662523199999,0.0,3600,0,0.0,0
1662523200000,1509.2,1514.24390672,1498.95,1510.48663481,0,1662526799999,0.0,3600,0,0.0,0
1662526800000,1510.49955541,1517.76,1506.56117066,1515.38,0,1662530399999,0.0,3600,0,0.0,0
1662530400000,1515.38,1525.0,1512.19834275,1517.25,0,1662533999999,0.0,3600,0,0.0,0
1662534000000,1517.63,1520.15,1508.82341059,1516.95652004,0,1662537599999,0.0,3600,0,0.0,0
1662537600000,1516.9541478,1521.99,1515.30548668,1519.53918466,0,1662541199999,0.0,3599,0,0.0,0
1662541200000,1519.55153761,1523.43,1514.98374417,1517.58788484,0,1662544799999,0.0,3600,0,0.0,0
1662544800000,1517.59078222,1519.73,1509.14559473,1511.45,0,1662548399999,0.0,3600,0,0.0,0
1662548400000,1511.45,1517.57,1504.07907257,1512.97,0,1662551999999,0.0,3600,0,0.0,0
1662552000000,1512.98,1516.99,1499.58312689,1516.44,0,1662555599999,0.0,3600,0,0.0,0
1662555600000,1516.44,1548.59,1516.00854066,1535.3313407,0,1662559199999,0.0,3600,0,0.0,0
1662559200000,1535.32,1548.06,1530.47,1542.52779725,0,1662562799999,0.0,3600,0,0.0,0
1662562800000,1542.50134288,1549.91,1538.04836012,1542.90642666,0,1662566399999,0.0,3599,0,0.0,0
1662566400000,1542.90642666,1558.29986046,1535.21967298,1552.95126052,0,1662569999999,0.0,3600,0,0.0,0
1662570000000,1552.94363033,1572.0,1551.75325848,1567.79,0,1662573599999,0.0,3600,0,0.0,0
1662573600000,1567.97,1578.8,1562.63,1570.68,0,1662577199999,0.0,3600,0,0.0,0
1662577200000,1570.7,1579.72766286,1567.6388312,1569.61583476,0,1662580799999,0.0,3600,0,0.0,0
1662580800000,1569.61583476,1653.09090832,1568.05,1639.29,0,1662584399999,0.0,3600,0,0.0,0
1662584400000,1639.29,1651.05125312,1627.53707674,1645.2111778,0,1662587999999,0.0,3600,0,0.0,0
1662588000000,1645.31,1655.92,1634.28015991,1634.79729821,0,1662591599999,0.0,3600,0,0.0,0
1662591600000,1634.81421982,1640.92,1621.03259106,1629.51062512,0,1662595199999,0.0,3600,0,0.0,0
1662595200000,1629.51589895,1636.21,1613.32,1627.26196398,0,1662598799999,0.0,3600,0,0.0,0
1662598800000,1627.30017127,1627.6,1614.20897485,1616.47,0,1662602399999,0.0,3600,0,0.0,0
1662602400000,1616.39069234,1631.5,1616.39069234,1627.39869263,0,1662605999999,0.0,3600,0,0.0,0
1662606000000,1627.40167839,1630.76,1620.71218588,1628.67,0,1662609599999,0.0,3600,0,0.0,0
1662609600000,1628.67,1646.22,1628.63185852,1641.73209578,0,1662613199999,0.0,3600,0,0.0,0
1662613200000,1641.73094858,1643.11,1632.08,1634.28,0,1662616799999,0.0,3600,0,0.0,0
1662616800000,1634.23,1637.92,1623.1269131,1625.2459342,0,1662620399999,0.0,3600,0,0.0,0
1662620400000,1625.2459342,1630.28,1594.98728967,1612.95968239,0,1662623999999,0.0,3600,0,0.0,0
1662624000000,1612.79443053,1624.85,1605.8534872,1622.93464891,0,1662627599999,0.0,3600,0,0.0,0
1662627600000,1622.92273925,1623.72,1610.28529573,1617.27,0,1662631199999,0.0,3600,0,0.0,0
1662631200000,1617.26,1638.83509571,1614.13437546,1636.13,0,1662634799999,0.0,3600,0,0.0,0
1662634800000,1636.42,1643.45,1631.32847587,1634.93861979,0,1662638399999,0.0,3600,0,0.0,0
1662638400000,1634.93514573,1645.76575613,1609.47987332,1617.43,0,1662641999999,0.0,3600,0,0.0,0
1662642000000,1617.5,1645.87,1597.87674186,1633.70508357,0,1662645599999,0.0,3600,0,0.0,0
1662645600000,1634.08350624,1643.94,1616.963508,1642.66913329,0,1662649199999,0.0,3600,0,0.0,0
1662649200000,1642.66913329,1654.19538364,1626.48970602,1628.72979655,0,1662652799999,0.0,3600,0,0.0,0
1662652800000,1628.73191033,1633.62,1608.02984835,1629.13,0,1662656399999,0.0,3600,0,0.0,0
1662656400000,1629.08097387,1638.59,1619.89347858,1629.49204085,0,1662659999999,0.0,3600,0,0.0,0
1662660000000,1629.49472865,1635.26,1624.55202354,1629.02,0,1662663599999,0.0,3600,0,0.0,0
1662663600000,1629.32,1649.03,1623.53633052,1648.82,0,1662667199999,0.0,3600,0,0.0,0
1662667200000,1649.65335559,1662.01293135,1639.27385796,1643.97900876,0,1662670799999,0.0,3600,0,0.0,0
1662670800000,1643.97900876,1644.21,1630.12700201,1638.43965384,0,1662674399999,0.0,3600,0,0.0,0
1662674400000,1638.43889909,1638.78,1626.97121948,1631.12,0,1662677999999,0.0,3600,0,0.0,0
1662678000000,1631.13,1637.44,1625.3564159,1634.23,0,1662681599999,0.0,3600,0,0.0,0
1662681600000,1634.22,1644.1,1629.37608788,1638.4,0,1662685199999,0.0,3600,0,0.0,0
1662685200000,1638.41,1646.42504776,1631.60265961,1631.81197854,0,1662688799999,0.0,3600,0,0.0,0
1662688800000,1631.68,1645.72,1631.09961612,1639.1942873,0,1662692399999,0.0,3600,0,0.0,0
