calc_time,funding_interval_hours,last_funding_rate
1661184000000,8,7.481e-05
1661212800000,8,6.559e-05
1661241600000,8,-1.8e-05
1661270400000,8,-9.315e-05
1661299200000,8,-8.879e-05
1661328000000,8,-2.313e-05
1661356800000,8,5.38e-06
1661385600000,8,-9.281e-05
1661414400000,8,-1.814e-05
1661443200000,8,2.635e-05
1661472000000,8,4.613e-05
1661500800000,8,2.49e-05
1661529600000,8,8.902e-05
1661558400000,8,-0.0002075
1661587200000,8,-7.754e-05
1661616000000,8,-0.000272
1661644800000,8,-0.0002537
1661673600000,8,-0.0002688
1661702400000,8,1.893e-05
1661731200000,8,-0.00024797
1661760000000,8,-0.00017053
1661788800000,8,-6.657e-05
1661817600000,8,-9.478e-05
1661846400000,8,-6.689e-05
1661875200000,8,-5.782e-05
1661904000000,8,-0.00011151
1661932800000,8,-2.5e-07
1661961600000,8,7.105e-05
1661990400000,8,-1.273e-05
1662019200000,8,9.18e-06
1662048000000,8,-7.998e-05
1662076800000,8,5.469e-05
1662105600000,8,3.291e-05
1662134400000,8,-1.84e-05
1662163200000,8,-0.00012553
1662192000000,8,-0.00010187
1662220800000,8,-9.441e-05
1662249600000,8,1.789e-05
1662278400000,8,-4.425e-05
1662307200000,8,-9.236e-05
1662336000000,8,8.77e-06
1662364800000,8,-0.00010286
1662393600000,8,-5.01e-05
1662422400000,8,-0.00016568
1662451200000,8,-0.00013291
1662480000000,8,-2.352e-05
1662508800000,8,-0.0001677
1662537600000,8,-0.00027449
1662566400000,8,-0.00018414
1662595200000,8,1.215e-05
1662624000000,8,-1.24e-05
1662652800000,8,-6.039e-05
1662681600000,8,-8.28e-05
1662710400000,8,-3.837e-05
1662739200000,8,-0.00012468
1662768000000,8,-7.115e-05
1662796800000,8,-0.00020439
1662825600000,8,-0.00014116
1662854400000,8,-0.00011556
1662883200000,8,-0.00016606
1662912000000,8,-0.00031696
1662940800000,8,-0.00034442
1662969600000,8,-0.0002761
1662998400000,8,-0.00038902
1663027200000,8,-0.00028397
1663056000000,8,-0.00047985
1663084800000,8,-0.0004662
1663113600000,8,-0.00111142
1663142400000,8,-0.00182506
1663171200000,8,-0.00172134
1663200000000,8,-0.00301937
1663228800000,8,-0.00216987
1663257600000,8,-0.00010393
1663286400000,8,-7.76e-06
1663315200000,8,-2.35e-06
1663344000000,8,0.0001
1663372800000,8,7.4e-05
1663401600000,8,7.913e-05
1663430400000,8,4.111e-05
1663459200000,8,8.41e-06
1663488000000,8,8.234e-05
1663516800000,8,6.342e-05
1663545600000,8,-0.00010281
1663574400000,8,-4.91e-06
1663603200000,8,-9.737e-05
1663632000000,8,-0.00010865
1663660800000,8,-0.00012011
1663689600000,8,2.77e-06
1663718400000,8,-3.849e-05
1663747200000,8,-2.285e-05
1663776000000,8,-7.656e-05
1663804800000,8,-0.00024234
1663833600000,8,-0.00023437
1663862400000,8,-0.00013047
1663891200000,8,-1.456e-05
1663920000000,8,-4.759e-05
1663948800000,8,-5.042e-05
1663977600000,8,1.491e-05
1664006400000,8,4.468e-05
1664035200000,8,-8.115e-05
1664064000000,8,1.22e-06
1664092800000,8,-4.292e-05
1664121600000,8,4.49e-06
1664150400000,8,4.23e-06
1664179200000,8,0.0001
1664208000000,8,-1.379e-05
1664236800000,8,2.194e-05
1664265600000,8,1.777e-05
1664294400000,8,1.303e-05
1664323200000,8,-1.018e-05
1664352000000,8,-2.348e-05
1664380800000,8,-7.573e-05
1664409600000,8,6.004e-05
1664438400000,8,0.0001
1664467200000,8,2.149e-05
1664496000000,8,1.17e-05
1664524800000,8,7.176e-05
1664553600000,8,0.0001
1664582400000,8,8.185e-05
1664611200000,8,6.857e-05
1664640000000,8,5.117e-05
1664668800000,8,1.239e-05
1664697600000,8,4.395e-05
1664726400000,8,-2.183e-05
1664755200000,8,-2.23e-05
1664784000000,8,2.229e-05
1664812800000,8,-9.98e-06
1664841600000,8,7.858e-05
1664870400000,8,0.0001
1664899200000,8,3.575e-05
1664928000000,8,1.819e-05
1664956800000,8,3.45e-06
1664985600000,8,-3.017e-05
1665014400000,8,2.418e-05
1665043200000,8,5.188e-05
1665072000000,8,-1.15e-05
1665100800000,8,2.157e-05
1665129600000,8,3.248e-05
1665158400000,8,3.9e-06
1665187200000,8,5.904e-05
