cell_id,algorithm,target,config_name,seed,train_terminal_equity,train_total_return,train_annualized_return,train_annualized_vol,train_sharpe_ratio,train_sortino_ratio,train_max_drawdown,train_mean_turnover,train_total_trading_cost,train_total_funding_cost,train_total_price_pnl,train_n_liquidations,train_mean_abs_exposure,train_std_exposure,train_mean_signed_exposure,validation_terminal_equity,validation_total_return,validation_annualized_return,validation_annualized_vol,validation_sharpe_ratio,validation_sortino_ratio,validation_max_drawdown,validation_mean_turnover,validation_total_trading_cost,validation_total_funding_cost,validation_total_price_pnl,validation_n_liquidations,validation_mean_abs_exposure,validation_std_exposure,validation_mean_signed_exposure,wall_clock_seconds
E0L0R0S0,RecurrentPPO,ALL,rppo_canonical,42,1.2902454087182706,0.29024540871827065,0.09489716582074559,0.5951710185195443,0.44968011510412664,0.5981812747549643,0.7174877230357455,0.026014370390163,0.5240197028233614,0.08351426135973128,0.8977793729013683,0,0.20495769381523132,0.17899282276630402,0.17582449316978455,0.9774392799151385,-0.02256072008486154,-0.03925972048557369,0.5096271779945006,0.17612734488223208,0.23379582391202136,0.38308320273736207,0.027436860912988692,0.11494460137457967,0.011144014594606233,0.10352789588432643,0,0.2049616128206253,0.17896024882793427,0.17588013410568237,726.3528833389282
E0L0R0S1,PPO,BTCUSDT,ppo_short_rollout,42,2.0502093322296457,1.0502093322296457,0.29100186177435816,0.5249187724452723,0.7491182624986833,0.9419377735115781,0.6411940044748672,4.06124355277586e-05,0.001,0.26244131602116827,1.313650648250814,0,1.0,0.0,1.0,1.0829481834690902,0.08294818346909016,0.15011690225970153,0.43243181554075544,0.5398087309811204,0.6877801906454784,0.25382998144305446,0.0002003606491685033,0.001,0.029116765218702767,0.11306494868779282,0,1.0,0.0,1.0,379.703462600708
E0L0R0S1,PPO,BTCUSDT,ppo_canonical,42,0.09137125963003939,-0.9086287403699607,-0.5731330815299407,0.5155821486726806,-1.3931321337116807,-1.7641367061216817,0.9195085294462096,0.004594146857378625,0.0681971390277721,-0.061212058127281144,-0.901643659469471,0,0.9883403182029724,0.5265790820121765,-0.8396494388580322,1.0806310178620158,0.08063101786201576,0.14580114659839394,0.43194201895845286,0.5312349481671321,0.6765432594453886,0.255067454888673,0.0002998738937591938,0.0014534836314960824,0.02906202599348262,0.11114652748699427,0,0.9998968839645386,0.003440976608544588,0.9998968839645386,326.1573600769043
E0L0R0S1,PPO,ETHUSDT,ppo_short_rollout,42,0.8916674268207969,-0.10833257317920308,-0.03997191415361889,0.6589656453243916,0.26785150908573296,0.33577023175892107,0.7146277981666505,4.06124355277586e-05,0.001,0.1775885322521411,0.07025595907293791,0,1.0,0.0,1.0,1.5811877547274853,0.5811877547274853,1.2348461793712144,0.7404018090990027,1.4562682840599352,1.878983730690766,0.5052451769732702,0.0002003606491685033,0.001,0.029953653848522777,0.612141408576008,0,1.0,0.0,1.0,496.84739685058594
E0L0R0S1,PPO,ETHUSDT,ppo_canonical,42,0.31466547505147424,-0.6853345249485258,-0.33724606374969324,0.6507717977214221,-0.30635077872276256,-0.38139632057406364,0.7691427299437543,0.013892618776413474,0.14077120087144848,0.07549369397597339,-0.46906963010110303,0,0.9846527576446533,0.32123905420303345,0.9353930950164795,0.8794757161329769,-0.12052428386702307,-0.20181423829161838,0.7198184347420187,0.046746676843734576,0.05948971479536584,0.515713142057546,0.021668332248054367,0.08799436523340506,0.017656457343054655,-0.014873461290562773,0,0.9646292328834534,0.3981233239173889,0.8900088667869568,363.3319835662842
E0L0R0S1,PPO,SOLUSDT,ppo_short_rollout,42,0.013336907291963573,-0.9866630927080364,-0.784741474737855,1.0710046794384545,-0.895742465859883,-1.1147312675543342,0.9966670964870321,4.06124355277586e-05,0.001,0.7765438913068143,-0.2091192014012222,0,1.0,0.0,-1.0,0.6740237948030106,-0.32597620519698944,-0.499622542204023,0.8540471006645735,-0.3816567915129671,-0.5148506544114722,0.639957213041918,0.0002003606491685033,0.001,-0.004573734160103982,-0.32954993935709354,0,1.0,0.0,-1.0,509.786226272583
E0L0R0S1,PPO,SOLUSDT,ppo_canonical,42,0.0023751161298489996,-0.997624883870151,-0.8834906738877766,1.0086460499088974,-1.620815011972058,-1.920520795326769,0.9982366099332566,0.04471052744956607,0.38778717399494833,0.02287944314384671,-0.5869582667313575,0,0.9412501454353333,0.6465380787849426,-0.7086554169654846,0.3668520195510564,-0.6331479804489436,-0.8279668333000847,0.7695611552525351,-1.9006403810693056,-2.457357107840663,0.6846379608980858,0.08202323664082026,0.2799430676667387,-0.0047977433265913305,-0.3580026561087948,0,0.8832836747169495,0.7744237184524536,-0.49261993169784546,389.2536680698395
E0L0R0S1,PPO,XRPUSDT,ppo_short_rollout,42,3.531787449965639,2.531787449965639,0.5665968493476954,0.8446625509332284,0.9510400262495423,1.217085263767956,0.6298041986930751,4.06124355277586e-05,0.001,0.21468914850052556,2.7474765984661644,0,1.0,0.0,1.0,1.0867170315264807,0.08671703152648069,0.1571513437122969,0.8555865151583242,0.5943017069449807,0.8458360803471416,0.43439638210701736,0.0002003606491685033,0.001,0.02117330644854576,0.10889033797502634,0,1.0,0.0,1.0,499.3382980823517
E0L0R0S1,PPO,XRPUSDT,ppo_canonical,42,0.08336941145628622,-0.9166305885437138,-0.586826907087878,0.7712730736837976,-0.7577225289494193,-0.9088130256354268,0.945691588081397,0.060726130557936894,0.7279024999752838,-0.06377310098574895,-0.2525011895541809,0,0.9135058522224426,0.5931077003479004,-0.7267440557479858,0.4811575367695308,-0.5188424632304691,-0.7230740899293755,0.7885263439758292,-1.229043809507773,-1.4694506267850327,0.6878054809643489,0.05951603558537741,0.2386467474775144,-0.010423433823558703,-0.29061914957651425,0,0.9143921732902527,0.5566678047180176,-0.7567132711410522,433.05906343460083
E0L0R0S1,PPO,ALL,ppo_short_rollout,42,0.5409268488299505,-0.45907315117004954,-0.1963627676785633,0.30202356855689416,-0.5725784965854158,-0.7025662014379168,0.7068272218669056,0.011902426691023926,0.2292249385850405,0.143295293514484,-0.08655291907052742,0,0.25,0.25245943665504456,-0.02990524098277092,0.8367683263732961,-0.16323167362670388,-0.26859174854212975,0.24359188833363124,-1.162285092108458,-1.6992199983801537,0.33188084292744113,0.011734081560231192,0.061253323849876466,0.0008306996578824055,-0.10114765011894633,0,0.25,0.25242137908935547,-0.03012070246040821,1599.3711218833923
