cell_id,encoder,leverage,reward,episode,algorithm,architecture,target,config_name,test_return_mean,test_return_std,test_sharpe_mean,test_sharpe_std,test_mdd_mean,test_turnover_mean,test_n_liq_mean,seeds_completed
E0L0R1S0,LSTM,L=1,log_penalty,sequential,RecurrentPPO,asset,ETHUSDT,rppo_short_rollout,-0.06289022441644385,0.5587276735219818,-0.16855670500463688,1.400684543521691,0.4999966422036322,0.00050768133717864,0.0,5
E0L0R1S0,LSTM,L=1,log_penalty,sequential,RecurrentPPO,asset,SOLUSDT,rppo_canonical,-0.5170891837320906,0.14411885560014068,-1.2721444337409664,0.5248505302669488,0.6686820289710413,0.0107601400220513,0.0,5
E0L0R1S0,LSTM,L=1,log_penalty,sequential,RecurrentPPO,asset,XRPUSDT,rppo_canonical,0.2856597305662499,0.5063672817938301,0.7065652759617393,1.2237201942463387,0.38612564469711985,0.00427924102984708,0.0,5
E0L0R1S0,LSTM,L=1,log_penalty,sequential,RecurrentPPO,portfolio,ALL,rppo_short_rollout,-0.17174479302694295,0.38994825452941945,-1.2047109575727528,1.7484334785478501,0.38002153308120923,0.02687468130179372,0.0,5
E0L0R1S1,LSTM,L=1,log_penalty,random_subs,A2C,asset,BTCUSDT,a2c_sb3_default,-0.19999981817983686,0.27211880576889436,-0.6535745269264478,0.9692730546982071,0.45668948459900127,0.0001753155680224,0.0,5
E0L0R1S1,LSTM,L=1,log_penalty,random_subs,A2C,asset,ETHUSDT,a2c_sb3_default,0.27372862136131093,0.4212336636986162,0.734763035780799,1.0988711903870079,0.3775370883689005,0.0001753155680224,0.0,5
E0L0R1S1,LSTM,L=1,log_penalty,random_subs,A2C,asset,SOLUSDT,a2c_sb3_default,-0.06829674294777215,0.7009533959311235,-0.30120523701699237,1.6381835828765288,0.5276605563209726,0.0001753155680224,0.0,5
E0L0R1S1,LSTM,L=1,log_penalty,random_subs,A2C,asset,XRPUSDT,a2c_sb3_default,-0.0895895343905786,0.5765923981306126,-0.2713397226388496,1.4734701731659567,0.5102893281632925,0.0001753155680224,0.0,5
E0L0R1S1,LSTM,L=1,log_penalty,random_subs,A2C,portfolio,ALL,a2c_sb3_default,-0.20874677638501077,0.17158774877145716,-0.9260556025133473,1.0030529995590256,0.32235119297891723,0.0001753155680224,0.0,5
E0L0R1S1,LSTM,L=1,log_penalty,random_subs,PPO,asset,BTCUSDT,ppo_canonical,0.09725725028004793,0.2991993729892836,0.4175364639020455,1.0662046709087931,0.3387892746775793,0.0028126027960157203,0.0,5
E0L0R1S1,LSTM,L=1,log_penalty,random_subs,PPO,asset,ETHUSDT,ppo_short_rollout,-0.27938633821732645,0.3369693419199202,-0.6326805839474561,0.9719315941402221,0.5335453456606558,0.0011991923546932602,0.0,5
E0L0R1S1,LSTM,L=1,log_penalty,random_subs,PPO,asset,SOLUSDT,ppo_short_rollout,-0.23378528257072073,0.553061922699437,-0.5672541865689761,1.2977045033318204,0.5818888298153632,0.00071449748685824,0.0,5
E0L0R1S1,LSTM,L=1,log_penalty,random_subs,PPO,asset,XRPUSDT,ppo_short_rollout,-0.42001712522507517,0.3198158097682471,-1.1817652999574828,1.0963618245657871,0.5950289883018729,0.010038069765204941,0.0,5
